text,label_text,predicted,model,raw_answer
Where can I find instructions to change my PIN?,change_pin,verify_my_identity,distilbert-base-uncased-mnli,
"I desperately need to change my PIN, but I'm overseas on vacation right now. How can I do this?",change_pin,terminate_account,distilbert-base-uncased-mnli,
Do cash machines let me change my pin?,change_pin,exchange_rate,distilbert-base-uncased-mnli,
Which cash machines will allow me to change my PIN?,change_pin,exchange_rate,distilbert-base-uncased-mnli,
Please tell me which cash machines will allow me to change my pin.,change_pin,verify_my_identity,distilbert-base-uncased-mnli,
Something is wrong with my payment account since it has been declined,declined_card_payment,transfer_not_received_by_recipient,distilbert-base-uncased-mnli,
"I tried using my card and it kept getting declined, Why?",declined_card_payment,transfer_not_received_by_recipient,distilbert-base-uncased-mnli,
My card didn't work in one of the shops.,declined_card_payment,transfer_not_received_by_recipient,distilbert-base-uncased-mnli,
"My payment has been declined, I thought this issue was fixed!",declined_card_payment,transfer_not_received_by_recipient,distilbert-base-uncased-mnli,
Why was my Payment declined,declined_card_payment,transfer_not_received_by_recipient,distilbert-base-uncased-mnli,
Why are you declining my payment? Everything was fine.,declined_card_payment,request_refund,distilbert-base-uncased-mnli,
How do you fix  my card payment?,declined_card_payment,verify_my_identity,distilbert-base-uncased-mnli,
Can you freeze my card it was stolen,lost_or_stolen_card,declined_card_payment,distilbert-base-uncased-mnli,
I think my card was stolen.,lost_or_stolen_card,declined_card_payment,distilbert-base-uncased-mnli,
Is a copy of the police report necessary for completing the report process?,lost_or_stolen_card,change_pin,distilbert-base-uncased-mnli,
How do I report a stolen card?,lost_or_stolen_card,verify_my_identity,distilbert-base-uncased-mnli,
What should I do if I lost my card?,lost_or_stolen_card,declined_card_payment,distilbert-base-uncased-mnli,
How do I report my card stolen?,lost_or_stolen_card,verify_my_identity,distilbert-base-uncased-mnli,
Help.  I have a stolen card!,lost_or_stolen_card,declined_card_payment,distilbert-base-uncased-mnli,
My card got lost.,lost_or_stolen_card,declined_card_payment,distilbert-base-uncased-mnli,
My card is lost! What can I do?,lost_or_stolen_card,declined_card_payment,distilbert-base-uncased-mnli,
I think I lost my card . I dont know how long it has been missing. Can you see if maybe someone else has been using it?,lost_or_stolen_card,declined_card_payment,distilbert-base-uncased-mnli,
"I believe my card has been stolen, what can I do about this situation? It's urgent.",lost_or_stolen_card,declined_card_payment,distilbert-base-uncased-mnli,
Help me please!  My card was stolen!,lost_or_stolen_card,declined_card_payment,distilbert-base-uncased-mnli,
"I wasn't charged the correct amount for an item I purchased, how can I fix this?",request_refund,change_pin,distilbert-base-uncased-mnli,
I would appreciate it if I could get an item refunded,request_refund,transfer_not_received_by_recipient,distilbert-base-uncased-mnli,
"I ordered something ages ago online but it's simply not arriving. I've got enough! Give me back my money, I'm not paying these people.",request_refund,transfer_not_received_by_recipient,distilbert-base-uncased-mnli,
Can I have a refund?,request_refund,transfer_not_received_by_recipient,distilbert-base-uncased-mnli,
I want this amount reversed out of my account.,request_refund,terminate_account,distilbert-base-uncased-mnli,
I bought this item and was charged the wrong amount can I get a refund?,request_refund,terminate_account,distilbert-base-uncased-mnli,
I want to reverse a purchase. Can I cancel it?,request_refund,transfer_not_received_by_recipient,distilbert-base-uncased-mnli,
How do I claim a refund?,request_refund,verify_my_identity,distilbert-base-uncased-mnli,
This company sucks! Can you terminate my account?,terminate_account,transfer_not_received_by_recipient,distilbert-base-uncased-mnli,
I tried to top up. Why was it denied?,top_up_failed,change_pin,distilbert-base-uncased-mnli,
Why can't I top up?,top_up_failed,change_pin,distilbert-base-uncased-mnli,
Why didn`t my topup go through?,top_up_failed,transfer_not_received_by_recipient,distilbert-base-uncased-mnli,
I need to know why my credit card was declined for top up? What is the deal here and why did it not go through?,top_up_failed,declined_card_payment,distilbert-base-uncased-mnli,
How can I check to see if my top-up worked?,top_up_failed,verify_my_identity,distilbert-base-uncased-mnli,
The app won't let me top up my account,top_up_failed,change_pin,distilbert-base-uncased-mnli,
"I've just moved address from a place in Durham to a place in Walton-On-The-Naze.  I have a new landlord at my new house and they haven't got my payment but I know I sent it on time, can you check they got it please?",transfer_not_received_by_recipient,verify_my_identity,distilbert-base-uncased-mnli,
how long do money transfers take?,transfer_not_received_by_recipient,exchange_rate,distilbert-base-uncased-mnli,
I transferred some money and it didint arrive,transfer_not_received_by_recipient,change_pin,distilbert-base-uncased-mnli,
How can the recipient see my money transaction?,transfer_not_received_by_recipient,verify_my_identity,distilbert-base-uncased-mnli,
The person I sent money to hasn't gotten it yet!,transfer_not_received_by_recipient,request_refund,distilbert-base-uncased-mnli,
Im waiting for my transaction to go through.,transfer_not_received_by_recipient,change_pin,distilbert-base-uncased-mnli,
How long until my friend receives my transaction?,transfer_not_received_by_recipient,change_pin,distilbert-base-uncased-mnli,
I am still awaiting the completion of the transaction.,transfer_not_received_by_recipient,change_pin,distilbert-base-uncased-mnli,
I transferred some money but the receiver can't pick it up for some reason.,transfer_not_received_by_recipient,change_pin,distilbert-base-uncased-mnli,
I transferred money but the recipient says it has not arrived. Why would this be?,transfer_not_received_by_recipient,change_pin,distilbert-base-uncased-mnli,
"How long do transfers need to come through? I sent some money to a friend, she needs it urgently, but seems it's still not there yet after a couple hours.",transfer_not_received_by_recipient,declined_card_payment,distilbert-base-uncased-mnli,
How long does it take for a transfer to get to a recipient?,transfer_not_received_by_recipient,exchange_rate,distilbert-base-uncased-mnli,
What's the process for ID verification?,verify_my_identity,change_pin,distilbert-base-uncased-mnli,
My card still hasn't arrived after 2 weeks. Is it lost?,card_arrival,lost_or_stolen_card,qwen2.5-3b,lost_or_stolen_card
I still don't have my card after 2 weeks.  What should I do?,card_arrival,lost_or_stolen_card,qwen2.5-3b,lost_or_stolen_card
How do I locate my card?,card_arrival,lost_or_stolen_card,qwen2.5-3b,lost_or_stolen_card
Can you cancel my purchase?,request_refund,terminate_account,qwen2.5-3b,terminate_account
I need to know why my credit card was declined for top up? What is the deal here and why did it not go through?,top_up_failed,declined_card_payment,qwen2.5-3b,declined_card_payment
Can you cancel my purchase?,request_refund,terminate_account,qwen2.5-7b-instruct,terminate_account
I need to know why my credit card was declined for top up? What is the deal here and why did it not go through?,top_up_failed,declined_card_payment,qwen2.5-7b-instruct,declined_card_payment
"I've just moved address from a place in Durham to a place in Walton-On-The-Naze.  I have a new landlord at my new house and they haven't got my payment but I know I sent it on time, can you check they got it please?",transfer_not_received_by_recipient,request_refund,qwen2.5-7b-instruct,request_refund
How long will it take for my transaction to be completed?,transfer_not_received_by_recipient,top_up_failed,qwen2.5-7b-instruct,top_up_failed
Im waiting for my transaction to go through.,transfer_not_received_by_recipient,top_up_failed,qwen2.5-7b-instruct,top_up_failed
How long until my friend receives my transaction?,transfer_not_received_by_recipient,top_up_failed,qwen2.5-7b-instruct,top_up_failed
I am still awaiting the completion of the transaction.,transfer_not_received_by_recipient,top_up_failed,qwen2.5-7b-instruct,top_up_failed
